Name,City,State,OwnerType,Owner,Operator,Specialty,Region,License Status,Website,Notes
The Stern Center for Aesthetic Surgery,Bellevue,WA,Physician group,Stern Center for Aesthetic Surgery Inc PC,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60099126; Expires: 7/1/2027; Address: 1370 116th Ave NE Ste 102, Bellevue, WA 98004-3825"
Virginia Mason Bellevue Ambulatory Surgery Center,Bellevue,WA,Health system,Virginia Mason Medical Center,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.61079026; Expires: 7/28/2026; Address: 11695 NE 4th St, Bellevue, WA 98004-5268"
Aesthetic and General Dermatology of Seattle,Burien,WA,Unknown,Elie Levy M D P C,Unknown,Plastic/Cosmetic,Puget Sound,Active,,"DOH Credential: ASF.FS.60099259; Expires: 6/21/2028; Address: 13610 1st Ave S, Burien, WA 98168-3404"
Proliance Southwest Seattle Surgery Center,Burien,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101076; Expires: 7/1/2027; Address: 275 SW 160th St Ste 200, Burien, WA 98166-3003"
Edmonds Endoscopy Center,Edmonds,WA,Physician group,"GH Edmonds Endoscopy Center Sub, LLC",Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.61651433; Expires: 5/10/2027; Address: 21600 Highway 99 Ste 260, Edmonds, WA 98026-8049"
Optum - Edmonds Surgery Center,Edmonds,WA,Independent / LLC,"Optum Care Washington, PLLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60701963; Expires: 6/13/2028; Address: 21401 72nd Ave W, Edmonds, WA 98026-7702"
Proliance Edmonds Center for Outpatient Surgery,Edmonds,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60101035; Expires: 7/1/2027; Address: 7320 216th St SW Ste 140, Edmonds, WA 98026-8028"
Transform Weight Loss,Edmonds,WA,Independent / LLC,Transform Weight Loss LLC,Unknown,Multi-specialty / Unknown,Puget Sound,Active,,"DOH Credential: ASF.FS.61241398; Expires: 9/18/2026; Address: 21911 76th Ave W Ste 103, Edmonds, WA 98026-7918"
Gateway Surgery Center,Everett,WA,Physician-affiliated,Western Washington Medical Group Inc PS,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60100914; Expires: 7/1/2027; Address: 3726 Broadway Ste 206, Everett, WA 98201-3788"
Optum - Kemp Surgery Center,Everett,WA,Independent / LLC,"Optum Care Washington, PLLC",Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60100209; Expires: 7/1/2027; Address: 3927 Rucker Ave Ste 101, Everett, WA 98201-4833"
Physicians Eye Surgery Center,Everett,WA,Physician group,Physicians Eye Surgery Center Inc,Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60099809; Expires: 1/1/2027; Address: 3930 Hoyt Ave, Everett, WA 98201-4919"
Proliance Everett Bone and Joint Surgery Center,Everett,WA,Physician group,"Proliance Surgeons, Inc., P.S.",Unknown,Orthopedics,Puget Sound,Active,,"DOH Credential: ASF.FS.60101038; Expires: 7/1/2027; Address: 1100 Pacific Ave Ste 100, Everett, WA 98201-4261"
Sound Surgeons Surgery Center,Everett,WA,Physician group,Sound Surgeons PLLC,Unknown,ENT,Puget Sound,Active,,"DOH Credential: ASF.FS.60534516; Expires: 7/1/2027; Address: 125 130th St SE, Everett, WA 98208-6401"
Western Washington Medical Group - The Endoscopy Center,Everett,WA,Physician-affiliated,Western Washington Medical Group Inc PS,Unknown,GI/Endoscopy,Puget Sound,Active,,"DOH Credential: ASF.FS.61076776; Expires: 11/4/2026; Address: 12800 Bothell Everett Hwy Ste 200, Everett, WA 98208-6642"
Evergreen Eye Center,Federal Way,WA,Physician group,Evergreen Eye Center Inc PS,Unknown,Ophthalmology,Puget Sound,Active,,"DOH Credential: ASF.FS.60099942; Expires: 12/12/2028; Address: 34719 6th Ave S, Federal Way, WA 98003-8714"
